id,category,oeis_xref,A,total_n,train_n,k,sc,pred_sc,solomonoff_class,mdl,raw_bits,ratio,time_s,solver_desc
tot3_0403_shuf,self,,3,500,375,125,15,0,neither,60.15,792.48,0.0759,592.406,STEP off=230 halt=7
tot3_0451_shuf,self,,3,500,375,125,117,0,neither,49.50,792.48,0.0625,594.640,STEP off=0 halt=114
tot3_0458_shuf,self,,3,500,375,125,16,0,neither,60.38,792.48,0.0762,592.523,STEP off=259 halt=2
tot3_0480_shuf,self,,3,500,375,125,102,0,neither,38.35,792.48,0.0484,594.157,FUNC_L d=3
tot3_0482_shuf,self,,3,500,375,125,17,0,neither,56.02,792.48,0.0707,592.633,STEP off=39 halt=4
tot3_0496_shuf,self,,3,500,375,125,17,0,neither,36.35,792.48,0.0459,592.562,FUNC d=3
tot3_0498_shuf,self,,3,500,375,125,68,0,neither,87.50,792.48,0.1104,594.591,NESTED_LOOP L=4
tot3_0507_shuf,self,,3,500,375,125,165,0,neither,54.16,792.48,0.0683,594.663,FUNC_L d=5
tot3_0515_shuf,self,,3,500,375,125,17,0,neither,59.60,792.48,0.0752,592.672,STEP off=174 halt=2
tot3_0521_shuf,self,,3,500,375,125,13,0,neither,60.31,792.48,0.0761,592.512,STEP off=41 halt=15
tot3_0545_shuf,self,,3,500,375,125,19,0,neither,64.09,792.48,0.0809,592.644,STEP off=196 halt=12
tot3_0548_shuf,self,,3,500,375,125,15,0,neither,63.43,792.48,0.0800,592.441,STEP off=289 halt=10
tot3_0560_shuf,self,,3,500,375,125,13,0,neither,62.60,792.48,0.0790,592.582,STEP off=214 halt=9
tot3_0562_shuf,self,,3,500,375,125,13,0,neither,59.77,792.48,0.0754,592.514,STEP off=45 halt=7
tot3_0569_shuf,self,,3,500,375,125,13,0,neither,63.07,792.48,0.0796,592.522,STEP off=88 halt=23
tot3_0593_shuf,self,,3,500,375,125,17,0,neither,57.90,792.48,0.0731,592.410,STEP off=230 halt=1
tot3_0594_shuf,self,,3,500,375,125,90,0,neither,87.50,792.48,0.1104,594.456,NESTED_LOOP L=4
tot3_0600_shuf,self,,3,500,375,125,11,0,neither,41.87,792.48,0.0528,592.456,P2H_FUNC d=4 R1
tot3_0604_shuf,self,,3,500,375,125,96,0,neither,63.32,792.48,0.0799,594.613,STEP off=90 halt=60
tot3_0664_shuf,self,,3,500,375,125,13,0,neither,43.87,792.48,0.0554,592.673,FUNC d=4
tot3_0674_shuf,self,,3,500,375,125,14,0,neither,64.70,792.48,0.0816,592.606,STEP off=187 halt=24
