time_s,program_bits,population,alphabet_size,holdout_len,nesting_depth
10.015,15.61,S3,2,20,
10.082,15.61,S3,3,20,
14.899,17.86,S3,4,20,
19.719,28.73,S3,5,20,
18.441,28.73,S3,7,20,
10.088,13.45,S3,2,20,
313.722,116.78,S3,5,20,6
10.122,13.45,S3,2,20,
10.147,28.84,S3,3,20,
273.677,116.78,S3,3,26,6
270.521,116.78,S3,4,26,6
228.687,116.78,S3,5,26,6
262.703,116.78,S3,7,26,6
15.085,17.62,S3,2,25,
185.714,97.72,S3,3,25,5
226.211,101.72,S3,4,25,5
10.010,15.61,S3,2,20,
