time_s,program_bits,population,alphabet_size,holdout_len,nesting_depth
12.074,28.84,S4,3,125,
10.084,15.03,S4,3,125,
43.960,54.73,S4,3,125,
12.060,22.48,S4,3,125,
16.793,24.73,S4,3,125,
16.608,17.86,S4,3,125,
16.401,40.34,S4,3,125,
11.899,22.48,S4,3,125,
43.084,39.77,S4,3,125,
11.823,28.84,S4,3,125,
10.096,15.03,S4,3,125,
12.324,15.61,S4,3,125,
11.601,22.48,S4,3,125,
21.388,15.70,S4,3,125,
16.250,17.86,S4,3,125,
57.168,19.20,S4,3,125,
39.070,17.86,S4,3,125,
26.712,28.84,S4,3,125,
10.240,15.03,S4,3,125,
22.584,15.61,S4,3,125,
45.384,46.78,S4,3,125,
70.828,17.86,S4,3,125,
53.443,17.86,S4,3,125,
44.141,28.84,S4,3,125,
10.147,15.03,S4,3,125,
68.190,22.48,S4,3,125,
216.676,17.86,S4,3,125,
27.174,17.86,S4,3,125,
18.418,28.84,S4,3,125,
10.147,15.03,S4,3,125,
221.139,82.15,S4,3,125,4
48.943,43.91,S4,3,125,
10.340,13.45,S4,3,125,
10.341,13.45,S4,3,125,
10.344,13.45,S4,3,125,
19.550,28.84,S4,3,125,
10.145,15.03,S4,3,125,
54.572,20.43,S4,3,125,
26.894,24.73,S4,3,125,
10.359,13.45,S4,3,125,
10.349,13.45,S4,3,125,
10.351,13.45,S4,3,125,
27.783,24.73,S4,3,125,
48.591,26.06,S4,3,125,
19.603,28.84,S4,3,125,
10.148,15.03,S4,3,125,
49.120,19.20,S4,3,125,
10.345,13.45,S4,3,125,
48.735,28.21,S4,3,125,
27.116,40.34,S4,3,125,
19.159,28.84,S4,3,125,
10.157,15.03,S4,3,125,
48.950,20.43,S4,3,125,
224.036,82.15,S4,3,125,4
60.787,17.86,S4,3,125,
48.692,28.21,S4,3,125,
19.341,28.84,S4,3,125,
10.188,15.03,S4,3,125,
27.890,17.86,S4,3,125,
11.960,28.84,S4,3,125,
10.091,15.03,S4,3,125,
11.535,22.48,S4,3,125,
16.391,17.86,S4,3,125,
43.403,41.26,S4,3,125,
42.981,46.15,S4,3,125,
11.509,28.84,S4,3,125,
10.084,15.03,S4,3,125,
11.895,15.61,S4,3,125,
11.598,22.48,S4,3,125,
20.991,15.70,S4,3,125,
16.858,17.86,S4,3,125,
15.990,24.73,S4,3,125,
42.492,26.03,S4,3,125,
11.579,28.84,S4,3,125,
10.084,15.03,S4,3,125,
11.689,15.61,S4,3,125,
13.407,46.78,S4,3,125,
16.580,17.86,S4,3,125,
16.660,17.86,S4,3,125,
11.843,28.84,S4,3,125,
10.086,15.03,S4,3,125,
