id,category,oeis_xref,A,total_n,train_n,k,sc,pred_sc,solomonoff_class,mdl,raw_bits,ratio,time_s,solver_desc
tot3_0714,totalistic_3state,,3,500,375,125,11,0,neither,64.86,792.48,0.0818,600.063,STEP off=231 halt=24
tot3_0715,totalistic_3state,,3,500,375,125,375,125,discovered,17.86,792.48,0.0225,16.708,CTX_X nr=1 d=2 perm=(1) out=R0 L=1
tot3_0716,totalistic_3state,,3,500,375,125,375,125,discovered,32.98,792.48,0.0416,16.332,"CTX_X nr=2 d=2 perm=(0,1) out=R0 L=2"
tot3_0717,totalistic_3state,,3,500,375,125,15,0,neither,55.84,792.48,0.0705,600.042,STEP off=83 halt=2
tot3_0718,totalistic_3state,,3,500,375,125,375,125,discovered,82.15,792.48,0.1037,437.163,NESTED_LOOP L=4
tot3_0719,totalistic_3state,,3,500,375,125,375,125,discovered,28.84,792.48,0.0364,11.865,CTX_X nr=1 d=1 perm=(0) out=R0 L=3
tot3_0720,totalistic_3state,,3,500,375,125,375,125,discovered,15.03,792.48,0.0190,10.091,"DARY d=2 ISZERO(R1,R0) init=0"
tot3_0721,totalistic_3state,,3,500,375,125,375,125,discovered,82.15,792.48,0.1037,437.130,NESTED_LOOP L=4
tot3_0722,totalistic_3state,,3,500,375,125,375,125,discovered,22.48,792.48,0.0284,11.730,CTX_X nr=1 d=1 perm=(0) out=R0 L=2
tot3_0723,totalistic_3state,,3,500,375,125,375,125,discovered,101.72,792.48,0.1284,293.242,NESTED_LOOP L=5
tot3_0724,totalistic_3state,,3,500,375,125,375,125,discovered,17.86,792.48,0.0225,17.003,CTX_X nr=1 d=2 perm=(1) out=R0 L=1
tot3_0725,totalistic_3state,,3,500,375,125,375,125,discovered,31.09,792.48,0.0392,17.103,CTX_X nr=1 d=2 perm=(1) out=R0 L=3
tot3_0726,totalistic_3state,,3,500,375,125,375,125,discovered,83.73,792.48,0.1057,212.292,NESTED_LOOP L=4
tot3_0727,totalistic_3state,,3,500,375,125,375,125,discovered,82.15,792.48,0.1037,436.902,NESTED_LOOP L=4
tot3_0728,totalistic_3state,,3,500,375,125,375,125,discovered,28.84,792.48,0.0364,11.618,CTX_X nr=1 d=1 perm=(0) out=R0 L=3
tot3_0729,totalistic_3state,,3,500,375,125,375,125,discovered,15.03,792.48,0.0190,10.085,"DARY d=2 ISZERO(R1,R0) init=0"
tot3_0730,totalistic_3state,,3,500,375,125,375,125,discovered,15.61,792.48,0.0197,12.256,CTX_X nr=1 d=1 perm=(0) out=R0 L=1
tot3_0731,totalistic_3state,,3,500,375,125,375,125,discovered,27.30,792.48,0.0344,41.733,CTX_X nr=1 d=4 perm=(3) out=R0 L=2
tot3_0732,totalistic_3state,,3,500,375,125,375,125,discovered,15.70,792.48,0.0198,22.089,DARY d=2 DEC(R0) init=2
tot3_0733,totalistic_3state,,3,500,375,125,375,125,discovered,17.86,792.48,0.0225,16.360,CTX_X nr=1 d=2 perm=(1) out=R0 L=1
tot3_0734,totalistic_3state,,3,500,375,125,375,125,discovered,34.09,792.48,0.0430,16.093,FUNC d=3
tot3_0735,totalistic_3state,,3,500,375,125,375,125,discovered,15.61,792.48,0.0197,12.295,CTX_X nr=1 d=1 perm=(0) out=R0 L=1
tot3_0736,totalistic_3state,,3,500,375,125,375,125,discovered,15.61,792.48,0.0197,12.242,CTX_X nr=1 d=1 perm=(0) out=R0 L=1
tot3_0737,totalistic_3state,,3,500,375,125,375,125,discovered,24.73,792.48,0.0312,16.834,CTX_X nr=1 d=2 perm=(1) out=R0 L=2
tot3_0738,totalistic_3state,,3,500,375,125,375,125,discovered,15.03,792.48,0.0190,10.085,"DARY d=2 ISZERO(R1,R0) init=0"
tot3_0739,totalistic_3state,,3,500,375,125,375,125,discovered,15.61,792.48,0.0197,11.941,CTX_X nr=1 d=1 perm=(0) out=R0 L=1
tot3_0740,totalistic_3state,,3,500,375,125,14,0,neither,55.76,792.48,0.0704,600.052,STEP off=245 halt=0
tot3_0741,totalistic_3state,,3,500,375,125,375,125,discovered,46.78,792.48,0.0590,12.658,FUNC_L d=4
tot3_0742,totalistic_3state,,3,500,375,125,375,125,discovered,17.86,792.48,0.0225,17.551,CTX_X nr=1 d=2 perm=(1) out=R0 L=1
tot3_0743,totalistic_3state,,3,500,375,125,375,125,discovered,34.09,792.48,0.0430,16.149,FUNC d=3
tot3_0744,totalistic_3state,,3,500,375,125,375,125,discovered,26.06,792.48,0.0329,43.958,CTX_X nr=1 d=3 perm=(2) out=R0 L=2
tot3_0745,totalistic_3state,,3,500,375,125,375,125,discovered,15.61,792.48,0.0197,12.112,CTX_X nr=1 d=1 perm=(0) out=R0 L=1
tot3_0746,totalistic_3state,,3,500,375,125,375,125,discovered,24.73,792.48,0.0312,16.130,CTX_X nr=1 d=2 perm=(1) out=R0 L=2
tot3_0747,totalistic_3state,,3,500,375,125,375,125,discovered,15.03,792.48,0.0190,10.086,"DARY d=2 ISZERO(R1,R0) init=0"
tot3_0748,totalistic_3state,,3,500,375,125,375,125,discovered,15.61,792.48,0.0197,11.602,CTX_X nr=1 d=1 perm=(0) out=R0 L=1
tot3_0749,totalistic_3state,,3,500,375,125,375,125,discovered,19.19,792.48,0.0242,11.679,"DARY d=4 SUB(R0,R1,R0) init=1"
tot3_0750,totalistic_3state,,3,500,375,125,13,0,neither,53.94,792.48,0.0681,600.052,STEP off=39 halt=1
tot3_0751,totalistic_3state,,3,500,375,125,375,125,discovered,17.86,792.48,0.0225,17.372,CTX_X nr=1 d=2 perm=(1) out=R0 L=1
tot3_0752,totalistic_3state,,3,500,375,125,375,125,discovered,28.93,792.48,0.0365,42.444,CTX_X nr=1 d=6 perm=(5) out=R0 L=2
tot3_0753,totalistic_3state,,3,500,375,125,375,125,discovered,101.72,792.48,0.1284,271.897,NESTED_LOOP L=5
tot3_0754,totalistic_3state,,3,500,375,125,375,125,discovered,15.61,792.48,0.0197,11.793,CTX_X nr=1 d=1 perm=(0) out=R0 L=1
tot3_0755,totalistic_3state,,3,500,375,125,375,125,discovered,24.73,792.48,0.0312,15.970,CTX_X nr=1 d=2 perm=(1) out=R0 L=2
tot3_0756,totalistic_3state,,3,500,375,125,375,125,discovered,15.03,792.48,0.0190,10.090,"DARY d=2 ISZERO(R1,R0) init=0"
tot3_0757,totalistic_3state,,3,500,375,125,375,125,discovered,64.81,792.48,0.0818,207.022,NESTED_LOOP L=3
tot3_0758,totalistic_3state,,3,500,375,125,13,0,neither,56.17,792.48,0.0709,600.062,STEP off=181 halt=1
tot3_0759,totalistic_3state,,3,500,375,125,375,125,discovered,13.45,792.48,0.0170,10.228,"DARY d=2 LOAD(R0,1) init=0"
tot3_0760,totalistic_3state,,3,500,375,125,375,125,discovered,13.45,792.48,0.0170,10.218,"DARY d=2 LOAD(R0,1) init=0"
tot3_0761,totalistic_3state,,3,500,375,125,375,125,discovered,13.45,792.48,0.0170,10.205,"DARY d=2 LOAD(R0,1) init=0"
tot3_0762,totalistic_3state,,3,500,375,125,375,125,discovered,15.61,792.48,0.0197,12.833,CTX_X nr=1 d=1 perm=(0) out=R0 L=1
tot3_0763,totalistic_3state,,3,500,375,125,15,0,neither,55.33,792.48,0.0698,600.084,STEP off=119 halt=0
tot3_0764,totalistic_3state,,3,500,375,125,375,125,discovered,17.86,792.48,0.0225,17.390,CTX_X nr=1 d=2 perm=(0) out=R0 L=1
tot3_0765,totalistic_3state,,3,500,375,125,375,125,discovered,15.03,792.48,0.0190,10.090,"DARY d=2 ISZERO(R1,R0) init=0"
tot3_0766,totalistic_3state,,3,500,375,125,375,125,discovered,20.43,792.48,0.0258,42.339,CTX_X nr=1 d=4 perm=(0) out=R0 L=1
tot3_0767,totalistic_3state,,3,500,375,125,375,125,discovered,41.34,792.48,0.0522,16.564,"CTX_X nr=2 d=2 perm=(0,1) out=R0 L=3"
tot3_0768,totalistic_3state,,3,500,375,125,375,125,discovered,13.45,792.48,0.0170,10.206,"DARY d=2 LOAD(R0,1) init=0"
tot3_0769,totalistic_3state,,3,500,375,125,375,125,discovered,13.45,792.48,0.0170,10.200,"DARY d=2 LOAD(R0,1) init=0"
tot3_0770,totalistic_3state,,3,500,375,125,375,125,discovered,13.45,792.48,0.0170,10.205,"DARY d=2 LOAD(R0,1) init=0"
tot3_0771,totalistic_3state,,3,500,375,125,375,125,discovered,26.06,792.48,0.0329,43.430,CTX_X nr=1 d=3 perm=(2) out=R0 L=2
tot3_0772,totalistic_3state,,3,500,375,125,31,0,neither,55.94,792.48,0.0706,600.046,STEP off=161 halt=0
tot3_0773,totalistic_3state,,3,500,375,125,375,125,discovered,17.86,792.48,0.0225,17.533,CTX_X nr=1 d=2 perm=(0) out=R0 L=1
tot3_0774,totalistic_3state,,3,500,375,125,375,125,discovered,15.03,792.48,0.0190,10.093,"DARY d=2 ISZERO(R1,R0) init=0"
tot3_0775,totalistic_3state,,3,500,375,125,12,0,neither,55.21,792.48,0.0697,600.061,STEP off=44 halt=1
tot3_0776,totalistic_3state,,3,500,375,125,11,0,neither,43.53,792.48,0.0549,600.052,FUNC d=4
tot3_0777,totalistic_3state,,3,500,375,125,11,0,neither,59.60,792.48,0.0752,600.053,STEP off=91 halt=4
tot3_0778,totalistic_3state,,3,500,375,125,375,125,discovered,13.45,792.48,0.0170,10.244,"DARY d=2 LOAD(R0,1) init=0"
tot3_0779,totalistic_3state,,3,500,375,125,29,0,neither,82.15,792.48,0.1037,600.056,NESTED_LOOP L=4
tot3_0780,totalistic_3state,,3,500,375,125,375,125,discovered,26.06,792.48,0.0329,41.673,CTX_X nr=1 d=3 perm=(2) out=R0 L=2
tot3_0781,totalistic_3state,,3,500,375,125,375,125,discovered,83.73,792.48,0.1057,224.500,NESTED_LOOP L=4
tot3_0782,totalistic_3state,,3,500,375,125,375,125,discovered,17.86,792.48,0.0225,18.150,CTX_X nr=1 d=2 perm=(0) out=R0 L=1
tot3_0783,totalistic_3state,,3,500,375,125,375,125,discovered,15.03,792.48,0.0190,10.086,"DARY d=2 ISZERO(R1,R0) init=0"
tot3_0784,totalistic_3state,,3,500,375,125,256,0,neither,101.72,792.48,0.1284,600.048,NESTED_LOOP L=5
tot3_0785,totalistic_3state,,3,500,375,125,375,125,discovered,101.72,792.48,0.1284,274.779,NESTED_LOOP L=5
tot3_0786,totalistic_3state,,3,500,375,125,375,125,discovered,24.73,792.48,0.0312,16.534,CTX_X nr=1 d=2 perm=(1) out=R0 L=2
tot3_0787,totalistic_3state,,3,500,375,125,375,125,discovered,17.86,792.48,0.0225,17.449,CTX_X nr=1 d=2 perm=(1) out=R0 L=1
tot3_0788,totalistic_3state,,3,500,375,125,13,0,neither,65.14,792.48,0.0822,600.053,STEP off=188 halt=32
tot3_0789,totalistic_3state,,3,500,375,125,375,125,discovered,15.61,792.48,0.0197,13.049,CTX_X nr=1 d=1 perm=(0) out=R0 L=1
tot3_0790,totalistic_3state,,3,500,375,125,43,0,neither,58.73,792.48,0.0741,600.063,ITER_L d=5
tot3_0791,totalistic_3state,,3,500,375,125,375,125,discovered,15.61,792.48,0.0197,13.093,CTX_X nr=1 d=1 perm=(0) out=R0 L=1
tot3_0792,totalistic_3state,,3,500,375,125,375,125,discovered,15.03,792.48,0.0190,10.098,"DARY d=2 ISZERO(R1,R0) init=0"
tot3_0793,totalistic_3state,,3,500,375,125,21,0,neither,58.13,792.48,0.0734,600.055,STEP off=34 halt=12
tot3_0794,totalistic_3state,,3,500,375,125,13,0,neither,59.56,792.48,0.0752,600.053,STEP off=371 halt=3
tot3_0795,totalistic_3state,,3,500,375,125,15,0,neither,41.53,792.48,0.0524,600.045,FUNC d=4
tot3_0796,totalistic_3state,,3,500,375,125,375,125,discovered,17.86,792.48,0.0225,16.742,CTX_X nr=1 d=2 perm=(1) out=R0 L=1
tot3_0797,totalistic_3state,,3,500,375,125,17,0,neither,63.16,792.48,0.0797,600.044,STEP off=54 halt=27
tot3_0798,totalistic_3state,,3,500,375,125,375,125,discovered,26.06,792.48,0.0329,43.058,CTX_X nr=1 d=3 perm=(2) out=R0 L=2
tot3_0799,totalistic_3state,,3,500,375,125,23,0,neither,82.15,792.48,0.1037,600.041,NESTED_LOOP L=4
tot3_0800,totalistic_3state,,3,500,375,125,375,125,discovered,15.61,792.48,0.0197,12.181,CTX_X nr=1 d=1 perm=(0) out=R0 L=1
tot3_0801,totalistic_3state,,3,500,375,125,375,125,discovered,15.03,792.48,0.0190,10.085,"DARY d=2 ISZERO(R1,R0) init=0"
tot3_0802,totalistic_3state,,3,500,375,125,375,125,discovered,41.09,792.48,0.0519,43.231,ITER d=3
tot3_0803,totalistic_3state,,3,500,375,125,11,0,neither,53.73,792.48,0.0678,600.043,FUNC_L d=5
tot3_0804,totalistic_3state,,3,500,375,125,11,0,neither,59.39,792.48,0.0749,600.053,STEP off=93 halt=8
tot3_0805,totalistic_3state,,3,500,375,125,375,125,discovered,17.86,792.48,0.0225,17.369,CTX_X nr=1 d=2 perm=(1) out=R0 L=1
tot3_0806,totalistic_3state,,3,500,375,125,21,0,neither,116.78,792.48,0.1474,600.044,NESTED_LOOP L=6
tot3_0807,totalistic_3state,,3,500,375,125,375,125,discovered,15.61,792.48,0.0197,11.396,CTX_X nr=1 d=1 perm=(0) out=R0 L=1
tot3_0808,totalistic_3state,,3,500,375,125,375,125,discovered,15.61,792.48,0.0197,11.625,CTX_X nr=1 d=1 perm=(0) out=R0 L=1
