"id","population","solver_family","program_bits","time_s","log2t"
"tot3_1171","S4","CTX_X",20.43,42.199,5.39913690632848
"tot3_1172","S4","CTX_X",43.91,42.485,5.4088816597751
"tot3_1173","S4","DARY",13.45,10.204,3.35106289894039
"tot3_1174","S4","DARY",13.45,10.199,3.35035579946003
"tot3_1175","S4","DARY",13.45,10.211,3.35205225634249
"tot3_1176","S4","CTX_X",17.86,17.448,4.12498976997866
"tot3_1177","S4","CTX_X",17.86,17.268,4.11002909279937
"tot3_1178","S4","CTX_X",17.86,17.995,4.16952419715
"tot3_1179","S4","DARY",15.03,10.084,3.33399611819645
"tot3_1180","S4","CTX_X",44.26,48.593,5.60267659817026
"tot3_1181","S4","CTX_X",24.73,16.202,4.01810000750257
"tot3_1182","S4","DARY",13.45,10.199,3.35035579946003
"tot3_1183","S4","DARY",13.45,10.201,3.3506386808415
"tot3_1184","S4","DARY",13.45,10.198,3.35021433796647
"tot3_1185","S4","CTX_X",17.86,17.207,4.1049236837009
"tot3_1186","S4","CTX_X",17.86,17.172,4.10198617278574
"tot3_1187","S4","CTX_X",17.86,17.159,4.10089357213746
"tot3_1188","S4","DARY",15.03,10.086,3.33428222529524
"tot3_1189","S4","CTX_X",44.91,41.647,5.38014067112636
"tot3_1190","S4","CTX_X",33.9,43.487,5.44251228116904
"tot3_1191","S4","CTX_X",34.9,42.288,5.40217642497948
"tot3_1192","S4","CTX_X",17.86,16.72,4.06350294230616
"tot3_1193","S4","CTX_X",17.86,16.568,4.05032755355843
"tot3_1194","S4","CTX_X",17.86,16.915,4.08023127201926
"tot3_1195","S4","CTX_X",15.61,11.739,3.55323761095986
"tot3_1196","S4","CTX_X",15.61,11.863,3.56839698991614
"tot3_1197","S4","DARY",15.03,10.085,3.33413917883824
"tot3_1198","S4","CTX_X",42.91,41.745,5.38353150427804
"tot3_1199","S4","NESTED_LOOP",116.78,495.435,8.95255198113414
"tot3_1200","S4","NESTED_LOOP",82.15,424.838,8.73076900478605
"tot3_1201","S4","CTX_X",17.86,16.388,4.03456789281821
"tot3_1202","S4","CTX_X",17.86,17.078,4.09406712610872
"tot3_1203","S4","CTX_X",36.55,43.092,5.42934815372373
"tot3_1204","S4","CTX_X",15.61,11.961,3.5802661060564
"tot3_1205","S4","CTX_X",15.61,12.095,3.5963388642052
"tot3_1206","S4","DARY",15.03,10.091,3.33499724490688
"tot3_1207","S4","CTX_X",41.26,43.322,5.43702794271535
"tot3_1208","S4","CTX_X",31.09,16.551,4.04884648119216
"tot3_1209","S4","CTX_X",17.86,16.565,4.05006629830629
"tot3_1210","S4","CTX_X",17.86,16.777,4.06841285642996
"tot3_1211","S4","CTX_X",17.86,16.794,4.06987398763198
"tot3_1212","S4","CTX_X",20.43,43.043,5.427706728876
"tot3_1213","S4","CTX_X",15.61,11.756,3.55532535898925
"tot3_1214","S4","CTX_X",15.61,11.855,3.56742375770728
"tot3_1215","S4","DARY",15.03,10.087,3.33442525757026
"tot3_1216","S4","CTX_X",15.61,12.02,3.58736499093646
"tot3_1217","S4","CTX_X",27.3,41.555,5.37695017094954
"tot3_1218","S4","DARY",15.7,22.475,4.49024921062709
"tot3_1219","S4","CTX_X",17.86,16.716,4.06315775866032
"tot3_1221","S4","CTX_X",15.61,11.94,3.57773093149008
"tot3_1223","S4","CTX_X",24.73,16.367,4.03271800119802
"tot3_1224","S4","DARY",15.03,10.084,3.33399611819645
"tot3_1225","S4","CTX_X",15.61,11.932,3.57676397767313
"tot3_1227","S4","FUNC_L",46.78,12.581,3.65317469418748
"tot3_1228","S4","CTX_X",17.86,16.54,4.04788732939655
"tot3_1229","S4","CTX_X",46.15,42.586,5.41230732228271
"tot3_1232","S4","CTX_X",24.73,16.185,4.01658546043445
"tot3_1233","S4","DARY",15.03,10.084,3.33399611819645
"tot3_1235","S4","DARY",19.19,11.772,3.55728754227831
"tot3_1237","S4","CTX_X",17.86,16.294,4.02626890819055
"tot3_1239","S4","NESTED_LOOP",101.72,270.945,8.08185621375136
"tot3_1240","S4","ITER_L",60.38,55.931,5.80557621963502
"tot3_1241","S4","CTX_X",24.73,16.577,4.05111103557303
"tot3_1242","S4","DARY",15.03,10.089,3.33471127958565
"tot3_1243","S4","NESTED_LOOP",64.81,206.926,7.69297111923759
"tot3_1245","S4","DARY",13.45,10.216,3.35275852504064
"tot3_1246","S4","DARY",13.45,10.196,3.34993137336011
"tot3_1247","S4","DARY",13.45,10.197,3.35007286260074
"tot3_1248","S4","CTX_X",15.61,11.829,3.56425621116689
"tot3_1250","S4","CTX_X",17.86,17.103,4.09617750219213
"tot3_1251","S4","DARY",15.03,10.085,3.33413917883824
"tot3_1252","S4","CTX_X",20.43,41.762,5.38411889973073
"tot3_1253","S4","CTX_X",41.34,16.203,4.01818904901106
"tot3_1254","S4","DARY",13.45,10.196,3.34993137336011
"tot3_1255","S4","DARY",13.45,10.201,3.3506386808415
"tot3_1256","S4","DARY",13.45,10.203,3.35092150676691
"tot3_1259","S4","CTX_X",17.86,17.605,4.13791332208841
"tot3_1260","S4","DARY",15.03,10.085,3.33413917883824
"tot3_1264","S4","DARY",13.45,10.216,3.35275852504064
"tot3_1268","S4","CTX_X",17.86,17.506,4.12977757046894
"tot3_1269","S4","DARY",15.03,10.088,3.33456827566613
"tot3_1271","S4","NESTED_LOOP",101.72,287.498,8.16740810965741
"tot3_1272","S4","CTX_X",24.73,16.147,4.01319424202565
"tot3_1273","S4","CTX_X",17.86,17.616,4.13881446890228
"tot3_1275","S4","CTX_X",15.61,12.152,3.60312186984
"tot3_1277","S4","CTX_X",15.61,12.035,3.58916423669977
"tot3_1278","S4","DARY",15.03,10.085,3.33413917883824
"tot3_1282","S4","CTX_X",17.86,16.655,4.05788344889963
"tot3_1284","S4","CTX_X",48.13,41.671,5.38097181642363
"tot3_1286","S4","CTX_X",15.61,12.296,3.62011716502868
"tot3_1287","S4","DARY",15.03,10.088,3.33456827566613
"tot3_1288","S4","ITER",41.09,43.908,5.45641191639816
"tot3_1291","S4","CTX_X",17.86,17.312,4.11370049916473
"tot3_1293","S4","CTX_X",15.61,12.415,3.63401235640212
"tot3_1294","S4","CTX_X",15.61,12.105,3.59753117422421
"tot3_1295","S4","CTX_X",15.61,11.82,3.56315813040281
"tot3_1296","S4","DARY",15.03,10.094,3.33542608663634
"tot3_1297","S4","CTX_X",15.61,12.109,3.59800782246209
"tot3_1298","S4","CTX_X",27.3,42.974,5.42539216363488
"tot3_1299","S4","DARY",15.7,22.585,4.49729300866279
"tot3_1300","S4","CTX_X",17.86,16.358,4.03192446379876
"tot3_1302","S4","CTX_X",17.86,17.406,4.12151279625707
"tot3_1304","S4","CTX_X",24.73,16.087,4.00782340362982
"tot3_1305","S4","DARY",15.03,10.085,3.33413917883824
"tot3_1306","S4","CTX_X",15.61,11.842,3.56584085376054
"tot3_1307","S4","CTX_X",28.93,43.128,5.43055290956901
"tot3_1308","S4","FUNC_L",46.78,12.822,3.68054940871888
"tot3_1309","S4","CTX_X",17.86,16.685,4.06047978140759
"tot3_1312","S4","CTX_X",15.61,12.468,3.64015815496328
"tot3_1313","S4","CTX_X",24.73,16.624,4.05519565424212
"tot3_1314","S4","DARY",15.03,10.084,3.33399611819645
"tot3_1318","S4","CTX_X",17.86,16.675,4.05961485629722
"tot3_1322","S4","CTX_X",24.73,16.398,4.03544796058228
"tot3_1323","S4","DARY",15.03,10.084,3.33399611819645
"tot3_1324","S4","NESTED_LOOP",64.81,207.182,7.69475485670471
"tot3_1325","S4","NESTED_LOOP",63.81,422.572,8.72305336594622
"tot3_1326","S4","DARY",13.45,10.205,3.35120427725799
"tot3_1327","S4","DARY",13.45,10.203,3.35092150676691
"tot3_1328","S4","DARY",13.45,10.197,3.35007286260074
"tot3_1330","S4","CTX_X",20.43,41.97,5.39128655811118
"tot3_1331","S4","CTX_X",17.86,17.599,4.13742155011198
"tot3_1332","S4","DARY",15.03,10.089,3.33471127958565
"tot3_1333","S4","CTX_X",20.43,43.79,5.45252954467793
"tot3_1334","S4","CTX_X",24.73,17.234,4.10718568387997
"tot3_1335","S4","DARY",13.45,10.211,3.35205225634249
"tot3_1336","S4","DARY",13.45,10.221,3.35346444815542
"tot3_1337","S4","DARY",13.45,10.259,3.35881820542763
"tot3_1338","S4","CTX_X",17.86,17.841,4.15712457643527
"tot3_1339","S4","CTX_X",20.43,43.774,5.45200231611571
"tot3_1340","S4","CTX_X",17.86,17.887,4.16083953437027
"tot3_1341","S4","DARY",15.03,10.088,3.33456827566613
"tot3_1343","S4","CTX_X",26.06,45.833,5.51831481532514
"tot3_1344","S4","CTX_X",20.43,43.716,5.45008949580185
"tot3_1345","S4","DARY",13.45,10.209,3.35176965202408
"tot3_1346","S4","DARY",13.45,10.207,3.35148699233648
"tot3_1347","S4","CTX_X",17.86,17.588,4.13651953255056
"tot3_1348","S4","CTX_X",20.43,42.282,5.40197171479242
"tot3_1349","S4","CTX_X",17.86,17.273,4.1104467689092
"tot3_1350","S4","DARY",15.03,10.087,3.33442525757026
"tot3_1352","S4","CTX_X",42.91,41.787,5.38498228234689
"tot3_1353","S4","CTX_X",43.26,41.56,5.37712374912949
"tot3_1354","S4","CTX_X",17.86,17.796,4.1534810985137
"tot3_1355","S4","CTX_X",17.86,17.195,4.10391721075207
"tot3_1356","S4","CTX_X",45.15,44.025,5.46025109894385
"tot3_1357","S4","CTX_X",15.61,12.017,3.58700487235718
"tot3_1358","S4","CTX_X",15.61,11.725,3.55151601762801
"tot3_1359","S4","DARY",15.03,10.087,3.33442525757026
"tot3_1360","S4","CTX_X",27.3,42.242,5.40060623739089
"tot3_1361","S4","CTX_X",31.09,16.288,4.02573756141361
"tot3_1362","S4","CTX_X",17.86,17.409,4.12176142961242
"tot3_1363","S4","CTX_X",17.86,16.667,4.05892254266585
"tot3_1364","S4","CTX_X",17.86,16.477,4.04238168697705
"tot3_1365","S4","CTX_X",15.61,11.864,3.56851859779254
"tot3_1366","S4","CTX_X",15.61,12.39,3.63110428236588
"tot3_1367","S4","CTX_X",15.61,11.887,3.57131275351758
"tot3_1368","S4","DARY",15.03,10.094,3.33542608663634
