"id","stage","class","class_simple","time_s"
"A001358_a5","S3","neither","other",600.063
"A001358_a7","S3","neither","other",600.069
"A001462_a2","S3","neither","other",600.035
"A001462_a3","S3","neither","other",600.067
"A001462_a4","S3","neither","other",600.066
"A001462_a5","S3","neither","other",600.073
"A001462_a7","S3","neither","other",600.067
"A001477_a2","S3","discovered","discovered",10.01
"A001477_a3","S3","discovered","discovered",10.079
"A001477_a4","S3","discovered","discovered",10.074
"A001477_a5","S3","discovered","discovered",10.075
"A001477_a7","S3","discovered","discovered",10.074
"A001481_a2","S3","neither","other",600.065
"A001481_a3","S3","neither","other",600.067
"A001481_a4","S3","neither","other",600.067
"A001481_a5","S3","neither","other",600.066
"A001481_a7","S3","neither","other",600.068
"A001511_a2","S3","discovered","discovered",37.406
"A001511_a3","S3","discovered","discovered",48.872
"A001511_a4","S3","discovered","discovered",45.996
"A001511_a5","S3","discovered","discovered",51.034
"A001511_a7","S3","discovered","discovered",44.095
"A001615_a2","S3","discovered","discovered",15.801
"A001615_a3","S3","neither","other",600.077
"A001615_a4","S3","neither","other",600.09
"A001615_a5","S3","neither","other",600.081
"A001615_a7","S3","neither","other",600.064
"A001622_a2","S3","neither","other",600.033
"A001622_a3","S3","neither","other",600.075
"A001622_a4","S3","neither","other",600.084
"A001622_a5","S3","neither","other",600.085
"A001622_a7","S3","neither","other",600.069
"A001969_a2","S3","discovered","discovered",16.067
"A001969_a3","S3","not_compressed_predicted","other",175.966
"A001969_a4","S3","neither","other",600.083
"A001969_a5","S3","neither","other",600.064
"A001969_a7","S3","neither","other",600.065
"A002033_a2","S3","neither","other",600.033
"A002033_a3","S3","neither","other",600.068
"A002033_a4","S3","neither","other",600.077
"A002033_a5","S3","neither","other",600.079
"A002033_a7","S3","neither","other",600.081
"A002106_a2","S3","neither","other",600.034
"A002106_a3","S3","neither","other",600.067
"A002106_a4","S3","neither","other",600.062
"A002106_a5","S3","neither","other",600.061
"A002106_a7","S3","neither","other",600.063
"A002113_a2","S3","neither","other",600.104
"A002113_a3","S3","neither","other",600.065
"A002113_a4","S3","neither","other",600.077
"A002113_a5","S3","neither","other",600.068
"A002113_a7","S3","neither","other",600.072
"A002322_a2","S3","discovered","discovered",27.293
"A002322_a3","S3","neither","other",600.072
"A002322_a4","S3","neither","other",600.065
"A002322_a5","S3","neither","other",600.073
"A002322_a7","S3","neither","other",600.086
"A002378_a2","S3","discovered","discovered",10.192
"A002378_a3","S3","discovered","discovered",15.096
"A002378_a4","S3","discovered","discovered",14.708
"A002378_a5","S3","discovered","discovered",15.006
"A002378_a7","S3","discovered","discovered",14.975
"A002487_a2","S3","discovered","discovered",24.515
"A002487_a3","S3","not_compressed_predicted","other",283.743
"A002487_a4","S3","discovered","discovered",282.302
"A002487_a5","S3","discovered","discovered",249.945
"A002487_a7","S3","discovered","discovered",277.729
"A002572_a2","S3","neither","other",600.043
"A002572_a3","S3","neither","other",600.069
"A002572_a4","S3","neither","other",600.09
"A002572_a5","S3","neither","other",600.135
"A002572_a7","S3","neither","other",600.097
"A002620_a2","S3","discovered","discovered",60.207
"A002620_a3","S3","discovered","discovered",41.542
"A002620_a4","S3","discovered","discovered",47.472
"A002620_a5","S3","discovered","discovered",47.675
"A002620_a7","S3","discovered","discovered",18.265
"A002654_a2","S3","neither","other",600.08
"A002654_a3","S3","neither","other",600.084
"A002654_a4","S3","compressed_only","other",295.898
"A002654_a5","S3","neither","other",600.092
"A002654_a7","S3","neither","other",600.126
"A002808_a2","S3","neither","other",600.103
"A002808_a3","S3","neither","other",600.1
"A002808_a4","S3","neither","other",600.057
"A002808_a5","S3","neither","other",600.135
"A002808_a7","S3","neither","other",600.087
"A003136_a2","S3","neither","other",600.08
"A003136_a3","S3","neither","other",600.086
"A003136_a4","S3","neither","other",600.097
"A003136_a5","S3","neither","other",600.078
"A003136_a7","S3","neither","other",600.07
"A003415_a2","S3","neither","other",600.089
"A003415_a3","S3","neither","other",602.556
"A003415_a4","S3","neither","other",600.098
"A003415_a5","S3","neither","other",600.091
"A003415_a7","S3","neither","other",600.082
"A003484_a2","S3","neither","other",605
"A003484_a3","S3","neither","other",600.049
"A003484_a4","S3","neither","other",600.088
"A003484_a5","S3","neither","other",600.081
"A003484_a7","S3","neither","other",600.1
"A004011_a2","S3","discovered","discovered",10.019
"A004011_a3","S3","discovered","discovered",10.093
"A004011_a4","S3","discovered","discovered",10.139
"A004011_a5","S3","neither","other",600.076
"A004011_a7","S3","neither","other",600.075
"A004018_a2","S3","discovered","discovered",10.011
"A004018_a3","S3","neither","other",600.064
"A004018_a4","S3","discovered","discovered",10.101
"A004018_a5","S3","neither","other",600.064
"A004018_a7","S3","neither","other",600.072
"A004526_a2","S3","discovered","discovered",15.957
"A004526_a3","S3","discovered","discovered",23.004
"A004526_a4","S3","discovered","discovered",14.899
"A004526_a5","S3","discovered","discovered",15.05
"A004526_a7","S3","discovered","discovered",25.713
"A005100_a2","S3","neither","other",600.041
"A005100_a3","S3","neither","other",600.087
"A005100_a4","S3","neither","other",600.064
"A005100_a5","S3","neither","other",600.076
"A005100_a7","S3","neither","other",600.067
"A005101_a2","S3","discovered","discovered",10.204
"A005101_a3","S3","neither","other",600.066
"A005101_a4","S3","neither","other",600.062
"A005101_a5","S3","neither","other",600.076
"A005101_a7","S3","neither","other",600.062
"A005117_a2","S3","neither","other",600.083
"A005117_a3","S3","neither","other",600.068
"A005117_a4","S3","neither","other",600.077
"A005117_a5","S3","neither","other",600.069
"A005117_a7","S3","neither","other",600.068
"A005408_a2","S3","discovered","discovered",10.144
"A005408_a3","S3","discovered","discovered",10.135
"A005408_a4","S3","discovered","discovered",10.154
"A005408_a5","S3","discovered","discovered",10.626
"A005408_a7","S3","discovered","discovered",10.399
"A005811_a2","S3","discovered","discovered",10.015
"A005811_a3","S3","neither","other",600.067
"A005811_a4","S3","neither","other",600.088
"A005811_a5","S3","neither","other",600.096
"A005811_a7","S3","neither","other",600.075
"A005843_a2","S3","discovered","discovered",10.303
"A005843_a3","S3","discovered","discovered",10.165
"A005843_a4","S3","discovered","discovered",10.146
"A005843_a5","S3","discovered","discovered",10.143
"A005843_a7","S3","discovered","discovered",10.187
"A006530_a2","S3","discovered","discovered",22.303
"A006530_a3","S3","neither","other",600.104
"A006530_a4","S3","neither","other",602.435
"A006530_a5","S3","neither","other",600.092
"A006530_a7","S3","neither","other",600.15
"A007318_a2","S3","neither","other",605
"A007318_a3","S3","neither","other",600.081
"A007318_a4","S3","neither","other",600.322
"A007318_a5","S3","neither","other",600.107
"A007318_a7","S3","neither","other",600.068
"A008277_a2","S3","neither","other",600.035
"A008277_a3","S3","neither","other",600.076
"A008277_a4","S3","neither","other",600.075
"A008277_a5","S3","neither","other",605
"A008277_a7","S3","neither","other",600.088
"A008279_a2","S3","neither","other",605
"A008279_a3","S3","neither","other",600.079
"A008279_a4","S3","neither","other",600.076
"A008279_a5","S3","neither","other",600.09
"A008279_a7","S3","neither","other",600.064
"A008292_a2","S3","neither","other",605
"A008292_a3","S3","neither","other",600.06
"A008292_a4","S3","neither","other",600.081
"A008292_a5","S3","neither","other",600.087
"A008292_a7","S3","neither","other",600.025
"A010060_a2","S3","discovered","discovered",10.9
"A010060_a3","S3","discovered","discovered",17.695
"A010060_a4","S3","discovered","discovered",22.947
"A010060_a5","S3","discovered","discovered",20.881
"A010060_a7","S3","discovered","discovered",21.474
"A018252_a2","S3","neither","other",600.013
"A018252_a3","S3","neither","other",600.078
"A018252_a4","S3","neither","other",600.064
"A018252_a5","S3","neither","other",600.061
"A018252_a7","S3","neither","other",600.061
"A020639_a2","S3","discovered","discovered",10.01
"A020639_a3","S3","neither","other",600.067
"A020639_a4","S3","neither","other",600.075
"A020639_a5","S3","neither","other",600.063
"A020639_a7","S3","neither","other",600.064
"A020652_a2","S3","neither","other",600.044
"A020652_a3","S3","neither","other",600.053
"A020652_a4","S3","neither","other",600.062
"A020652_a5","S3","neither","other",600.065
"A020652_a7","S3","neither","other",600.06
"A020653_a2","S3","neither","other",600.04
"A020653_a3","S3","neither","other",600.058
"A020653_a4","S3","neither","other",600.058
"A020653_a5","S3","neither","other",600.082
"A020653_a7","S3","neither","other",600.064
"A025487_a2","S3","discovered","discovered",10.013
"A025487_a3","S3","neither","other",600.058
"A025487_a4","S3","neither","other",600.06
"A025487_a5","S3","neither","other",600.05
"A025487_a7","S3","neither","other",600.055
"A027642_a2","S3","discovered","discovered",40.827
"A027642_a3","S3","discovered","discovered",15.832
"A027642_a4","S3","discovered","discovered",41.731
"A027642_a5","S3","neither","other",600.065
"A027642_a7","S3","neither","other",600.049
"A038566_a2","S3","neither","other",600.04
